beta q x1 x2 x3 Var Cvar
0.9 1000 0.313049 0.165307 0.521644 0.0630623 0.094807
0.9 3000 0.419921 0.122974 0.457106 0.0641908 0.0930451
0.9 5000 0.468433 0.103758 0.42781 0.070526 0.099258
0.9 10000 0.42077 0.122637 0.456592 0.0680237 0.0972533
0.9 20000 0.405869 0.12854 0.465591 0.0681016 0.0964903
0.95 1000 0.44556 0.112818 0.441622 0.0909786 0.114206
0.95 2000 0.361934 0.145943 0.492123 0.0879651 0.113116
0.95 3000 0.356371 0.148146 0.495482 0.0939903 0.119796
0.95 5000 0.384653 0.136944 0.478403 0.0891568 0.114562
0.95 10000 0.308896 0.166952 0.524152 0.0911683 0.118805
0.95 20000 0.35527 0.148583 0.496147 0.0897196 0.114607
0.99 1000 0.393467 0.133453 0.473081 0.119341 0.131075
0.99 3000 0.542996 0.0742219 0.382782 0.139283 0.156592
0.99 5000 0.394506 0.133041 0.472453 0.141016 0.163303
0.99 10000 0.309204 0.16683 0.523966 0.138074 0.159812
0.99 20000 0.334413 0.156844 0.508743 0.132687 0.154187
